Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,CT,Connecticut,Tolland,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,77.3,,,73.7,80.6,150293,09013,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,33.4,,,30.5,36.5,959768,09001,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Windham,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.1,,,2.7,3.6,116418,09015,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,New London,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,14,,,11.1,17.1,268805,09011,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.4,,,5.8,7.1,164759,09007,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Tolland,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.5,,,2.3,2.8,150293,09013,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Fairfield,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,19.7,,,16.7,23.1,959768,09001,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Windham,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7.5,,,6.3,8.9,116418,09015,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,32.5,,,29.6,35.6,863700,09009,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Windham,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,57.9,,,53.2,62.6,116418,09015,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,Tolland,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,32.3,,,30.8,33.9,150293,09013,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Fairfield,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.6,,,6.6,10.8,959768,09001,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.7,,,2.4,3.0,896854,09003,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Middlesex,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,10.8,,,8.9,12.9,164759,09007,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-72.5227802 41.4330028),1043
2020,CT,Connecticut,Hartford,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,47.1,,,40.9,52.6,896854,09003,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,New London,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.4,,,12.5,16.5,268805,09011,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New Haven,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,14.8,,,11.9,17.9,863700,09009,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,31.1,,,27.8,34.3,164759,09007,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-72.5227802 41.4330028),1043
2020,CT,Connecticut,Fairfield,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,86.6,,,84.8,88.2,959768,09001,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Windham,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,13,,,10.9,15.3,116418,09015,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,Fairfield,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,49.5,,,42.8,55.8,959768,09001,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,New London,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,31.4,,,28.2,35.1,268805,09011,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.2,,,5.1,7.6,863700,09009,HLTHOUT,COPD,CrdPrv,COPD,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,New London,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,7.1,,,5.5,8.7,268805,09011,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New Haven,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,24.9,,,21.3,28.8,863700,09009,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Litchfield,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,21.9,,,18.7,25.6,185000,09005,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-73.2354042 41.7918833),1042
2020,CT,Connecticut,Litchfield,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,39.4,,,32.8,46.1,185000,09005,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Fairfield,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,2.8,,,2.4,3.3,959768,09001,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,New Haven,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.8,,,5.8,8.0,863700,09009,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,New Haven,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,14,,,12.3,16.0,863700,09009,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,New Haven,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,13,,,11.0,15.1,863700,09009,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-72.9002033 41.3497185),1044
2020,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,6.8,,,4.1,10.4,959768,09001,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Middlesex,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,10.4,,,8.6,12.4,164759,09007,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.7,,,5.0,6.6,863700,09009,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-72.9002033 41.3497185),1044
2020,CT,Connecticut,Litchfield,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,33,,,31.3,34.7,185000,09005,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.9,,,2.5,3.4,164759,09007,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Hartford,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.4,,,2.9,4.0,896854,09003,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-72.7329157 41.8060534),1041
2020,CT,Connecticut,Tolland,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,82.7,,,79.9,85.0,150293,09013,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Hartford,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,12.9,,,10.4,15.5,896854,09003,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,New Haven,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.7,,,6.9,10.8,863700,09009,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Middlesex,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.3,,,4.6,6.1,164759,09007,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.6,,,2.3,2.9,896854,09003,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,New London,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,17.6,,,15.1,20.6,268805,09011,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Hartford,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,25.2,,,21.7,28.8,896854,09003,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-72.7329157 41.8060534),1041
2020,CT,Connecticut,Tolland,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,75.7,,,71.5,79.5,150293,09013,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,New London,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.5,,,6.7,8.3,268805,09011,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New London,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.7,,,10.6,15.0,268805,09011,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New London,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,22.3,,,19.3,25.6,268805,09011,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Hartford,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,10.3,,,8.9,11.9,896854,09003,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-72.7329157 41.8060534),1041
2020,CT,Connecticut,Tolland,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,7.5,,,4.6,10.7,150293,09013,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.6,,,6.6,8.7,959768,09001,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,22.1,,,19.5,25.2,896854,09003,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.6,,,8.2,11.2,164759,09007,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,18.9,,,16.9,21.1,959768,09001,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Windham,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,11.3,,,10.0,12.9,116418,09015,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.5,,,10.3,12.8,896854,09003,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Tolland,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.9,,,9.7,12.3,150293,09013,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-72.3409779 41.8580807),38
2020,CT,Connecticut,New London,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,85.4,,,83.6,87.2,268805,09011,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Tolland,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,6,,,5.3,6.8,150293,09013,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Tolland,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,2.7,,,2.2,3.1,150293,09013,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,29.1,,,26.4,32.1,863700,09009,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-72.9002033 41.3497185),1044
2020,CT,Connecticut,Middlesex,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,56.1,,,48.6,63.7,164759,09007,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5,,,4.4,5.8,896854,09003,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Litchfield,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,4.9,,,4.0,6.0,185000,09005,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Fairfield,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,73.6,,,70.0,76.8,959768,09001,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Windham,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.4,,,9.6,13.3,116418,09015,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-71.9907017 41.8249987),39
2020,CT,Connecticut,Windham,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,44,,,37.0,51.0,116418,09015,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Tolland,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,22.3,,,19.3,25.6,150293,09013,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.2,,,9.1,11.4,959768,09001,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,New Haven,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,11.1,,,9.5,13.0,863700,09009,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.8,,,9.5,12.2,164759,09007,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-72.5227802 41.4330028),1043
2020,CT,Connecticut,New London,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,78.5,,,75.3,81.6,268805,09011,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,9.2,,,8.1,10.6,863700,09009,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,New London,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.5,,,2.2,2.8,268805,09011,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-72.1086339 41.4726517),1045
2020,CT,Connecticut,Fairfield,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,80.5,,,77.6,83.2,959768,09001,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Tolland,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,12,,,9.2,14.9,150293,09013,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-72.3409779 41.8580807),38
2020,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,7.3,,,4.4,11.1,959768,09001,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.7,,,2.4,3.0,863700,09009,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Windham,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.4,7.1,116418,09015,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,New Haven,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.5,,,3.0,4.1,863700,09009,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Middlesex,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5.5,,,4.6,6.5,164759,09007,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Tolland,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.8,,,4.1,5.5,150293,09013,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,New London,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.2,,,2.7,3.7,268805,09011,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Hartford,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.6,,,4.0,5.3,896854,09003,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,New London,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,9.5,,,8.1,11.2,268805,09011,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-72.1086339 41.4726517),1045
2021,CT,Connecticut,Tolland,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,9.1,,,7.6,10.7,150293,09013,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-72.3409779 41.8580807),38
2020,CT,Connecticut,New Haven,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,86.5,,,84.9,88.2,863700,09009,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Windham,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,27.2,,,23.8,30.7,116418,09015,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,24.7,,,22.2,27.3,959768,09001,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Hartford,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,79.2,,,76.7,81.6,896854,09003,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Litchfield,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,10,,,8.3,12.0,185000,09005,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Windham,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5.2,,,4.5,6.0,116418,09015,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,21.5,,,19.3,24.1,863700,09009,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-72.9002033 41.3497185),1044
2021,CT,Connecticut,Tolland,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,23.1,,,19.8,26.8,150293,09013,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-72.3409779 41.8580807),38
2021,CT,Connecticut,Middlesex,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,11.7,,,8.9,14.6,164759,09007,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-72.5227802 41.4330028),1043
2020,CT,Connecticut,Fairfield,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,71.9,,,68.9,74.6,959768,09001,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31,,,26.3,35.8,164759,09007,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-72.5227802 41.4330028),1043
2021,CT,Connecticut,Litchfield,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.8,,,8.0,9.7,185000,09005,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-73.2354042 41.7918833),1042
2021,CT,Connecticut,Windham,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,35.3,,,29.9,40.9,116418,09015,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-71.9907017 41.8249987),39
2021,CT,Connecticut,Fairfield,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,9.6,,,8.1,11.3,959768,09001,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Hartford,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,27.4,,,24.1,30.7,896854,09003,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-72.7329157 41.8060534),1041
2021,CT,Connecticut,Litchfield,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.3,,,10.1,15.0,185000,09005,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-73.2354042 41.7918833),1042
2020,CT,Connecticut,Fairfield,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,31.6,,,30.3,32.9,959768,09001,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-73.3670614 41.2274128),1040
2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.4,,,3.8,5.1,164759,09007,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-72.5227802 41.4330028),1043
